uuid,ml,ap,dv
83a77b50-f409-4c3f-b992-782ebde32dbb,3450,7937,3927
,,,
8db87ffd-bea0-481e-91cb-8317b8da1563,3450,7937,3927
,,,
810521e9-4a3e-44f2-9d8a-9cf4b8a49b62,3450,7933,3908
,,,
3a47ef88-f22f-44fd-ad64-db402ce8f050,3450,7928,3888
,,,
58d694d7-dd0f-457a-b3a1-f9c40fa81f56,3450,7928,3888
,,,
84cda43f-0ccc-4678-bf5b-2b8c03c1e660,3449,7925,3869
,,,
c953f39a-358a-411b-a218-a5b9543c9943,3440,7925,3830
,,,
0c4ebafa-f469-4f46-a2a7-a4c874f5e0a1,3440,7925,3830
,,,
92cdbbf8-60e4-42b5-b846-8021ed797426,3445,7925,3850
,,,
18d5858c-8d8a-46ab-828a-ee51349868fa,3426,7925,3772
,,,
f76f113f-d999-4148-9903-07dd55ed93a7,3426,7925,3772
,,,
8dde0ed0-e946-45f4-8f0c-5bea561feb5a,3426,7925,3772
,,,
450d8357-cb9c-4d12-9191-2eba7f08a466,3421,7925,3752
,,,
89e64f40-77bb-4d69-a094-20efd150e360,3426,7925,3772
,,,
e4a0aa91-ab69-46fa-8f1a-ad831d6ef72d,3411,7925,3714
,,,
632c66f0-21ee-4e1b-ab70-4af0f7246f63,3416,7925,3733
,,,
a9536732-0a3a-482a-a4c7-8b40e1bee3ba,3411,7925,3714
,,,
9a65f5be-68a4-4bf1-9aaa-ee48f6dd92d2,3401,7925,3635
,,,
e61efccc-c3f5-4ff9-b0cf-17d5377b1561,3401,7925,3635
,,,
000b881c-e7b7-40fa-8348-8212535aaebf,3401,7925,3635
,,,
8c04a267-f941-4178-aa2e-3d73820e286b,3401,7925,3635
,,,
9fb84a01-f2d6-45fa-b26f-768d6d0eb4da,3401,7925,3635
,,,
6316998f-3634-45e0-a9cc-d3f681def305,3401,7925,3615
,,,
63959250-010c-418b-b929-8aae4628e1e8,3401,7925,3595
,,,
4e0f61e9-94a8-4e93-bfd0-58e8e32bf890,3401,7925,3595
,,,
be34050b-b2b7-448d-b334-a48164d6ea10,3401,7925,3575
,,,
503e1f14-0dde-4b66-9d06-9174a38f27f2,3401,7925,3575
,,,
2e789b79-dcae-4a28-b121-73718e6c514c,3401,7925,3575
,,,
18cabb13-9a03-45fb-a1bf-e85a17b30549,3401,7925,3575
,,,
a7a24359-fe11-4847-8fa7-f57e357a3a76,3387,7910,3519
,,,
3fbe184d-4cdf-4d5e-8468-797d673a1e6a,3382,7905,3500
,,,
3271bce7-fe37-42e7-94e0-6bb0c44dacb6,3382,7905,3500
,,,
468ef3e7-71d8-4b84-8f0d-efed3b7955e0,3377,7900,3481
,,,
ab7baa9e-345d-41ae-85e2-f23fb9a7e423,3377,7900,3481
,,,
407eb7c5-5697-459c-a2b2-0f29060e91b5,3364,7887,3424
,,,
254eed66-0400-4afa-a346-c8defe8cab12,3355,7878,3386
,,,
24db7b9a-acd4-4f5f-b72a-9c3406964838,3355,7878,3386
,,,
7a5ad340-5257-4a6f-8c7c-bdc0d0ca3382,3350,7873,3367
,,,
04c5b4db-9647-4a07-9088-aeffa9cee699,3345,7868,3348
,,,
8fab01fb-27d2-452f-9e88-5f9ad9109e67,3345,7868,3348
,,,
60708f7f-3f22-40cf-85ee-b0d31072b2ee,3340,7863,3330
,,,
d40f6f71-0d8a-4877-a723-0e7f4844b3e4,3336,7859,3311
,,,
690c0a67-d47b-4b66-a098-e0118b37ef9d,3321,7850,3254
,,,
4e1b915c-5f18-43a1-a4b1-11c60b2d3594,3312,7850,3215
,,,
8cb4b7e3-8fca-48a0-930f-cf8c72250bcc,3312,7850,3215
,,,
1a90cc52-2f30-4954-aedc-9753a2376dcf,3302,7850,3176
,,,
155feb01-fb92-4413-af7e-809e168806c8,3297,7850,3157
,,,
4ab11ef9-35ce-4e56-a2f0-9609b648b569,3297,7850,3157
,,,
c4b3981b-c418-402e-852e-7bcaa47c246b,3292,7850,3137
,,,
deb80170-6cc3-4de7-b6ee-5f34f7c11a8b,3282,7850,3098
,,,
b468930c-8408-4658-97b2-549155496299,3287,7850,3118
,,,
016e48ca-72d8-43e7-a403-bbebaefe5120,3287,7850,3118
,,,
cc956954-c27d-45a3-afe4-8e3d49632e6a,3237,7774,2818
,,,
03661ad6-d5e9-4b55-b121-15450bf4e720,3154,7702,2482
,,,
d0315288-03fb-4b9a-95df-3b55f0279c61,3101,7624,2013
,,,
d4bbb1f0-f591-4e1e-9e34-32648fd73da5,3101,7624,2013
,,,
8cd035c5-b7a2-498a-9342-5d386d415109,3101,7624,2013
,,,
9412d2fd-58b9-44ff-917f-456379235ceb,3059,7589,1704
,,,
1f209832-6043-41ef-9cc3-aad306d4a273,3051,7559,1611
,,,
03f966a0-891e-41e5-a307-1a623b0a6f93,3051,7554,1591
,,,
423d652e-80b4-4ab1-9cb0-e7a241805de3,3033,7550,1200
,,,
23222b71-5cc6-4b15-84ae-943923cb556b,3449,7925,3869
,,,
2550e83c-8955-49a2-8fa9-6c1dfe09d2c5,3402,7925,3675
,,,
304db593-dfc2-4b75-9f62-df29c09d7c8d,3401,7925,3635
,,,
05f55055-5b69-4e0d-a727-001ac1c24350,3401,7925,3595
,,,
a51aee2d-4280-4867-9f8a-7362c9ebf69d,3101,7624,2051
,,,
ff9bc348-bd13-40c3-8dc4-db3425b26700,3101,7624,2013
,,,
a20ad5a0-b62e-458b-a961-28ffc940da40,3401,7925,3655
,,,
aaa9d297-d06f-4386-847d-a7d1e8462347,3923,7774,4310
,,,
8823775a-1105-4a78-928d-5634395bf1cb,3902,7774,4227
,,,
e2b398ce-390a-4d60-a8df-c6defb591437,3877,7749,4127
,,,
4854627c-0cd7-46ca-9288-ebf039c9c430,3851,7725,3942
,,,
fcfa60b0-5558-4e20-9878-145ca78d3376,3851,7724,3921
,,,
8b736e89-42b3-4858-a1d2-29a0663cc600,3846,7719,3901
,,,
1f351cca-5f70-456e-acad-1c27cf4f10fc,3841,7714,3881
,,,
41f27467-c993-42b4-80af-0f84bcd78431,3815,7700,3780
,,,
96659308-f529-4935-a63d-0c5f8b6f6ec1,3800,7700,3718
,,,
c87616fc-8b04-46bf-837a-4e33b9d7eabb,3800,7700,3718
,,,
3135c57f-ea23-4731-88fb-cc906a4842b6,3795,7700,3697
,,,
15904b67-00bf-4360-b0c0-8702292408da,3790,7700,3677
,,,
